PBI Function Name
IF
DIVIDE
MOD
FORMAT
CALCULATE
CALCULATETABLE
VALUES
ISBLANK
YEAR
MONTH
DAY
WEEKDAY
WEEKNUM
DATEDIFF
DATEADD
DATESBETWEEN
DATESINPERIOD
SWITCH
DATE
LASTDATE
FIRSTDATE
EDATE
TODAY
EOMONTH
PREVIOUSMONTH
ISFILTERED
FALSE
TRUE
SUM
SUMX
AVERAGE
AVERAGEX
DISTINCTCOUNT
COUNT
COUNTX
CONCATENATE
CONCATENATEX
SAMEPERIODLASTYEAR
ALL
ALLSELECTED
COUNTROWS
MIN
MINX
MAX
MAXX
IN
LEFT
RIGHT
DISTINCT
SELECTEDVALUE
BLANK
ISINSCOPE
FILTER
USERELATIONSHIP
REMOVEFILTERS
ABS
HASONEVALUE
RELATED
RELATEDTABLE
INT
NOT
ISEMPTY
AND
OR
