PBI Name,Output Name
Tooltips,Tooltips
Category,Categoricals
X,X-Values
Y,Y-Values
Y2,Y2-Values
Size,Size Indicator
Series,Series
Rows,Rows
Columns,Cols
Play,Play
Breakdown,Breakdown
Group,Group
Values,Values
Details,Details
Indicator,Indicators
TrendLine,Trendlines
Goal,Goals
Target,Targets
ExplainBy,Explained By
Anazlze,Analyzed
Data,Data
MaxValue,Max Values
MinValue,Min Values
TargetValue,Target Values
