PBI Visual Name
lineClusteredColumnComboChart
clusteredColumnChart
clusteredBarChart
donutChart
azureMap
barChart
scatterChart
columnChart
hundredPercentStackedBarChart
hundredPercentStackedColumnChart
lineChart
areaChart
stackedAreaChart
lineStackedColumnComboChart
ribbonChart
waterfallChart
funnel
pieChart
treemap
map
filledMap
multiRowCard
kpi
pivotTable
keyDriversVisual
decompositionTreeVisual
card
cardVisual
gauge
tableEx
slicer
advancedSlicerVisual
